X (meters),Y (meters),Wall Info
89653.9564,43131.2322,Right
89653.3504,43127.8006,Right
89660.3701,43128.8083,Left
89660.509,43124.861,Left
89649.4596,43124.3081,Right
89648.6402,43116.6203,Left
89638.2856,43126.8253,Right
89633.442,43121.0013,Left
89616.1222,43160.9913,Right
89609.1719,43158.4288,Left
89618.9245,43162.9003,Right
89624.661,43167.9154,Left
89637.0119,43134.567,Right
89640.9988,43140.2507,Left
89650.8192,43143.8134,Right
89644.4062,43141.7313,Left
89629.9816,43175.8219,Right
89626.2314,43170.7337,Left
89623.2461,43178.4697,Right
89615.7061,43178.1937,Left
89628.8911,43185.3714,Right
89643.9383,43183.9614,Left
89669.79,43150.4041,Right
89663.6775,43143.8038,Left
89653.3098,43142.7365,Right
89659.7516,43142.2478,Left
89616.8206,43171.1074,Left
89610.8274,43167.8585,Left
89618.9163,43173.7253,Left
89616.6346,43186.1062,Left
89625.7822,43192.448,Left
89660.3646,43193.0885,Left
89669.3037,43180.8989,Left
89659.391,43165.8863,Left
89670.4846,43174.9868,Left
89684.0022,43161.5253,Left
89663.1231,43173.9713,Left
89649.3881,43169.6665,Left
89658.736,43162.6983,Left
89648.7938,43166.5202,Left
89681.8206,43150.0873,Left
89675.9032,43144.9979,Left
89672.756,43143.0433,Left
89644.6201,43132.2912,Right
89650.7166,43136.9982,Right
89656.837,43183.8298,Right
89651.7407,43176.4758,Right
89644.6113,43175.4674,Right
89640.5294,43167.6824,Right
89644.6194,43160.5758,Right
89659.3758,43155.451,Right
89665.2694,43158.3759,Right
89660.0042,43181.0438,Right
89640.1858,43176.9552,Right
89635.0373,43178.7556,Right
89668.8152,43167.8499,Right
89677.318,43156.4384,Right
89661.4996,43151.3004,Right
89655.1571,43147.332,Right
89608.7082,43163.4473,Left
89609.3983,43165.7638,Left
89608.6178,43160.7543,Left
89613.0761,43169.7506,Left
89611.5567,43168.6561,Left
89614.948,43170.662,Left
89620.6261,43170.8405,Left
89618.6839,43171.0665,Left
89622.8698,43169.6271,Left
89643.3838,43139.6895,Left
89642.0497,43139.5746,Left
89644.243,43140.5118,Left
89622.2369,43172.6977,Left
89620.0666,43173.2895,Left
89624.4204,43172.2514,Left
89616.7898,43175.3694,Left
89617.7204,43174.4321,Left
89615.8315,43176.9419,Left
89615.1214,43182.0483,Left
89615.211,43179.6199,Left
89615.4236,43184.2022,Left
89621.1338,43189.7129,Left
89618.559,43187.7891,Left
89623.4225,43191.2812,Left
89636.8337,43188.9262,Left
89631.3612,43192.7221,Left
89640.2247,43184.051,Left
89628.2198,43193.0578,Left
89634.0403,43191.5841,Left
89638.6675,43186.2065,Left
89641.7903,43183.6069,Left
89645.2942,43184.7449,Left
89653.5262,43190.2358,Left
89655.97,43191.7475,Left
89646.1357,43185.4751,Left
89666.1477,43187.5895,Left
89663.777,43191.1219,Left
89668.7383,43183.2955,Left
89666.6932,43176.3842,Left
89668.4758,43178.5936,Left
89664.8966,43175.0495,Left
89656.1405,43170.5074,Left
89651.9605,43170.1154,Left
89659.7796,43172.0639,Left
89648.2161,43168.3662,Left
89648.3945,43168.9263,Left
89648.4254,43167.0006,Left
89653.9062,43164.5645,Left
89650.2761,43166.0865,Left
89657.1297,43163.3433,Left
89660.394,43164.0571,Left
89659.9404,43163.2324,Left
89660.1458,43165.1604,Left
89663.9832,43172.9778,Left
89660.2621,43170.5582,Left
89666.8255,43174.5763,Left
89679.5421,43166.7244,Left
89676.8209,43170.8638,Left
89680.5082,43165.0225,Left
89674.6563,43173.7688,Left
89681.8259,43163.652,Left
89678.3134,43168.6208,Left
89683.0701,43154.007,Left
89683.8264,43157.5561,Left
89682.8347,43152.2419,Left
89677.4351,43146.0771,Left
89680.0499,43147.6771,Left
89674.0053,43143.8322,Left
89667.9486,43143.1366,Left
89665.1887,43143.5675,Left
89671.2396,43142.7811,Left
89661.2736,43143.89,Left
89660.3275,43143.1685,Left
89662.3924,43144.0087,Left
89659.2436,43135.4418,Left
89659.8483,43132.6161,Left
89659.1412,43138.9532,Left
89616.8087,43162.994,Right
89616.2023,43161.9083,Right
89617.7219,43163.3925,Right
89640.9818,43132.1948,Right
89638.6194,43133.1028,Right
89642.6935,43132.0076,Right
89648.6004,43134.2552,Right
89646.4288,43132.8356,Right
89649.7512,43135.4102,Right
89651.4947,43141.2668,Right
89651.2648,43138.8675,Right
89651.299,43142.4608,Right
89625.8814,43176.7497,Right
89624.4684,43177.2022,Right
89628.2214,43176.7419,Right
89624.2271,43182.3886,Right
89622.9749,43180.3974,Right
89626.7122,43183.9357,Right
89632.5493,43182.138,Right
89631.4828,43184.3341,Right
89633.3825,43180.5095,Right
89637.4866,43177.4448,Right
89648.9592,43178.4857,Right
89644.4725,43177.2961,Right
89653.4728,43181.0823,Right
89659.8638,43183.4191,Right
89658.432,43184.3555,Right
89660.2033,43182.2931,Right
89656.1372,43178.6837,Right
